pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
6248,BE,nse_cm,,PREMIER,PREMIER-BE,,PREMIER,INE342A01018,,,,PREMIER LIMITED,,,1,1,-1,-1,2,-1,NSE,,,606700800,,606700800,0,0,1411603200,1412121600,0,2.76-3.04,0,0,1465586470,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,993183.00,1,0,304,276,1,1,1,0,0,1,0,3.03726e+07,0,0,993183,"Scrips in GSM,Identified as RECEIPT OF CORPORATE ANNOUNCEMENT / DISCLOSURE FROM THE COMPANY,The company has been loss making for at least the last 8 quarters for main board and last 2 years for SME companies on consolidated basis,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)"
7038,SG,nse_cm,,604AS26,604AS26-SG,,604AS26-SG,IN1220210158,,,,SDL AS 6.04% 2026,,,1,100,-1,-1,2,-1,NSE,,,1323561600,,1323561600,0,0,0,0,0,95.00-105.00,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,
7043,SG,nse_cm,,683BR30,683BR30-SG,,683BR30-SG,IN1320210116,,,,SDL BR 6.83% 2030,,,1,100,-1,-1,2,-1,NSE,,,1323561600,,1323561600,0,0,0,0,0,95.00-105.00,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
7089,BL,nse_cm,,STARHEALTH,STARHEALTH-BL,,STARHEALTH-BL,INE575P01011,,,,STAR HEALTH & AL INS CO L,,,5,1,-1,-1,2,-1,NSE,,,1323561600,,1323561600,0,0,0,0,0,508.70-540.10,0,0,1465579290,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,191229.00,1,0,54010,50870,1,1,1,0,0,1,0,5.88399e+08,0,0,191229,
7092,BL,nse_cm,,SEJALLTD,SEJALLTD-BL,,SEJALLTD-BL,INE955I01044,,,,SEJAL GLASS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1323820800,,1323820800,0,0,1405468800,1405814400,0,665.70-706.80,0,0,1465579320,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,149739.00,1,0,70680,66570,1,1,1,0,0,1,0,1.14e+07,0,0,149739,
5646,BL,nse_cm,,PAR,PAR-BL,,PAR-BL,INE04LG01015,,,,PAR DRUGS AND CHEM LTD,,,1,1,-1,-1,2,-1,NSE,,,1316217600,,1316217600,0,0,0,0,1419379200,85.18-90.44,0,0,1465579289,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,402361.00,1,0,9044,8518,1,1,1,0,0,1,0,1.23046e+07,0,0,402361,
5650,EQ,nse_cm,,SHANTI,SHANTI-EQ,,SHANTI,INE933X01016,,,,SHANTI OVERSEAS INDIA LTD,,,1,1,-1,-1,2,-1,NSE,,,1316217600,,1316217600,0,0,1411516800,1412121600,0,5.18-7.76,0,0,1465586470,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,363166.00,1,0,776,518,1,1,1,0,0,1,0,1.1106e+07,0,0,363166,"EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,High low price variation was greater than 300% in previous 365 days,High low price variation was greater than 100% in previous 6 months,High low price variation was greater than 200% in previous 365 days"
6001,SG,nse_cm,,705WB36,705WB36-SG,,705WB36-SG,IN3420210152,,,,SDL WB 7.05% 2036,,,1,100,-1,-1,2,-1,NSE,,,1318118400,,1318118400,0,0,0,0,0,95.00-105.00,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2.5e+08,0,0,1000000,
6047,BL,nse_cm,,PASUPTAC,PASUPTAC-BL,,PASUPTAC-BL,INE818B01023,,,,PASUPATI ACRYLON LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1318464000,,1318464000,0,0,1408060800,1408665600,0,68.90-73.16,0,0,1465579289,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1362934.00,1,0,7316,6890,1,1,1,0,0,1,0,8.91331e+07,0,0,1362934,
6445,EQ,nse_cm,,TECHNOE,TECHNOE-EQ,,TECHNOE,INE285K01026,,,,TECHNO ELEC & ENG CO. LTD,,,10,1,-1,-1,2,-1,NSE,,,1228348800,,1228348800,0,0,0,0,1442102400,793.40-1190.00,0,0,1465586470,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,100831.00,1,0,119000,79340,1,1,1,0,0,1,0,1.163e+08,0,0,100831,
6481,SG,nse_cm,,696TN31,696TN31-SG,,696TN31-SG,IN3120210221,,,,SDL TN 6.96% 2031,,,1,100,-1,-1,2,-1,NSE,,,1320796800,,1320796800,0,0,0,0,0,95.00-105.00,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
6489,EQ,nse_cm,,IRIS,IRIS-EQ,,IRIS,INE864K01010,,,,IRIS REGTECH SOLUTION LTD,,,5,1,-1,-1,2,-1,NSE,,,1320796800,,1320796800,0,0,1407542400,1408060800,0,186.30-279.40,0,0,1465586470,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,429444.00,1,0,27940,18630,1,1,1,0,0,1,0,2.05682e+07,0,0,429444,
65,SG,nse_cm,,663GJ29,663GJ29-SG,,663GJ29-SG,IN1520200149,,,,SDL GJ 6.63% 2029,,,1,100,-1,-1,2,-1,NSE,,,1284854400,,1284854400,0,0,0,0,0,99.66-110.14,0,0,1465577413,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,953200.00,100,0,11014,9966,1,1,1,0,0,1,0,1e+08,0,0,953200,
6851,BL,nse_cm,,SMLT,SMLT-BL,,SMLT-BL,INE017W01010,,,,SARTHAK METALS LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1322265600,,1322265600,0,0,0,0,1436659200,69.72-74.02,0,0,1465579290,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,447654.00,1,0,7402,6972,1,1,1,0,0,1,0,1.36898e+07,0,0,447654,
6868,GS,nse_cm,,613GS2028,613GS2028-GS,,613GS2028-GS,IN0020030022,,,,GOI LOAN 6.13% 2028,,,1,1,-1,-1,2,-1,NSE,,,1229472000,,1229472000,0,0,0,0,1449187200,94.33-104.25,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1006500.00,1,0,10425,9433,1,1,1,0,0,1,0,1.1e+09,0,0,1006500,
6895,SG,nse_cm,,662PY28,662PY28-SG,,662PY28-SG,IN3820210034,,,,SDL PY 6.62% 2028,,,1,100,-1,-1,2,-1,NSE,,,1322352000,,1322352000,0,0,0,0,0,95.00-105.00,0,0,1465577414,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,408749.00,100,0,10500,9500,1,1,1,0,0,1,0,1.25e+07,0,0,408749,
756788,SG,nse_cm,,668RJ35,668RJ35-SG,,668RJ35-SG,IN2920250080,,,,SDL RJ 6.68% 2035,,,1,100,-1,-1,2,-1,NSE,,,1434844800,,1434844800,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,
756793,SG,nse_cm,,709TS61,709TS61-SG,,709TS61-SG,IN4520250197,,,,SDL TS 7.09% 2061,,,1,100,-1,-1,2,-1,NSE,,,1434844800,,1434844800,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
756811,SG,nse_cm,,664GJ36,664GJ36-SG,,664GJ36-SG,IN1520250052,,,,SDL GJ 6.64% 2036,,,1,100,-1,-1,2,-1,NSE,,,1432425600,,1432425600,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
756812,SG,nse_cm,,665GJ37,665GJ37-SG,,665GJ37-SG,IN1520250060,,,,SDL GJ 6.65% 2037,,,1,100,-1,-1,2,-1,NSE,,,1432425600,,1432425600,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
756852,N0,nse_cm,,690LICH27,690LICH27-N0,,690LICH27-N0,INE115A07RH4,,,,LICH 6.90% SR TR 456,,,1,1,-1,-1,2,-1,NSE,,,1435104000,,1435104000,0,0,0,0,1441238400,80000.00-120000.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,325000,0,0,999,
756859,SG,nse_cm,,674AP37,674AP37-SG,,674AP37-SG,IN1020250107,,,,SDL AP 6.74% 2037,,,1,100,-1,-1,2,-1,NSE,,,1431216000,,1431216000,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
756876,N0,nse_cm,,759GIL30,759GIL30-N0,,759GIL30-N0,INE233A08162,,,,GIL 7.59% 2030 SR 2,,,1,1,-1,-1,2,-1,NSE,,,1431129600,,1431129600,0,0,0,0,1461196800,80000.00-120000.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,1000.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,50000,0,0,1000,
756878,N0,nse_cm,,7IREDAL30,7IREDAL30-N0,,7IREDAL30-N0,INE202E08300,,,,IREDA 7.00% 2030 SR XVII,,,1,1,-1,-1,2,-1,NSE,,,1431129600,,1431129600,0,0,0,0,1461196800,80000.00-120000.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,150000,0,0,999,
