pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
8177,BL,nse_cm,,SAGARDEEP,SAGARDEEP-BL,,SAGARDEEP-BL,INE976T01013,,,,SAGARDEEP ALLOYS LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1232841600,,1232841600,0,0,1411603200,1412121600,0,23.77-25.23,0,0,1465675813,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,557776.00,1,0,2523,2377,1,1,1,0,0,1,0,1.70574e+07,0,0,557776,
8197,SG,nse_cm,,712PN37,712PN37-SG,,712PN37-SG,IN2820210150,,,,SDL PN 7.12% 2037,,,1,100,-1,-1,2,-1,NSE,,,1329609600,,1329609600,0,0,0,0,0,95.00-105.00,0,0,1465664080,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
8346,BL,nse_cm,,GSEC5IETF,GSEC5IETF-BL,,GSEC5IETF-BL,INF109KC14A8,,,,ICICIPRAMC - ICICI5GSEC,,,1,1,-1,-1,2,-1,NSE,,,1331337600,,1331337600,0,0,0,0,0,63.37-67.27,0,0,1465675813,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,102313.00,1,0,6727,6337,1,1,1,0,0,1,0,3.12886e+06,0,0,102313,
7942,EQ,nse_cm,,SILVERIETF,SILVERIETF-EQ,,SILVERIETF,INF109KC1Y56,,,,ICICIPRAMC - ICICISILVE,,,1,1,-1,-1,2,-1,NSE,,,1328054400,,1328054400,0,0,0,0,0,185.12-277.66,0,0,1465676444,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,431988.00,1,0,27766,18512,1,1,1,0,0,1,0,6.12749e+08,0,0,431988,
7950,SM,nse_cm,,PRECISION,PRECISION-SM,,PRECISION-SM,INE0HKW01018,,,,PRECISION METALIKS LTD,,,5,2000,-1,-1,2,-1,NSE,,,1328140800,,1328140800,0,0,0,0,0,7.40-8.10,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,750761.00,2000,0,810,740,1,1,1,0,0,1,0,2.29591e+07,0,0,750761,"EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Mandatory Market making period in this scrip is over, exit may be difficult,The scrip is not regularly traded, and exit may be difficult,High low price variation was greater than 300% in previous 365 days,High low price variation was greater than 200% in previous 365 days,High low price variation was greater than 150% in previous 12 months"
7999,BL,nse_cm,,GRWRHITECH,GRWRHITECH-BL,,GRWRHITECH-BL,INE291A01017,,,,GARWARE HI-TECH FILMS LTD,,,50,1,-1,-1,2,-1,NSE,,,1328313600,,1328313600,0,0,0,0,1442534400,6054.00-6428.00,0,0,1465675812,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,16100.00,1,0,642800,605400,1,1,1,0,0,1,0,2.32324e+07,0,0,16100,
57,BL,nse_cm,,HAPPSTMNDS,HAPPSTMNDS-BL,,HAPPSTMNDS-BL,INE419U01012,,,,HAPPIEST MINDS TECHNO LTD,,,5,1,-1,-1,2,-1,NSE,,,1284768000,,1284768000,0,0,0,0,1446681600,334.65-355.35,0,0,1465675748,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,286581.00,1,0,35535,33465,1,1,1,0,0,1,0,1.52275e+08,0,0,286581,
6650,BL,nse_cm,,SJS,SJS-BL,,SJS-BL,INE284S01014,,,,SJS ENTERPRISES LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1321401600,,1321401600,0,0,0,0,1466899200,2031.30-2156.90,0,0,1465675811,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,48124.00,1,0,215690,203130,1,1,1,0,0,1,0,3.19763e+07,0,0,48124,
6661,BL,nse_cm,,POLICYBZR,POLICYBZR-BL,,POLICYBZR-BL,INE417T01026,,,,PB FINTECH LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1321401600,,1321401600,0,0,0,0,0,1459.10-1549.30,0,0,1465675811,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,66165.00,1,0,154930,145910,1,1,1,0,0,1,0,4.62693e+08,0,0,66165,
761828,N0,nse_cm,,768NIIF31,768NIIF31-N0,,768NIIF31-N0,INE246R07855,,,,NIIF 7.68% 2031 SR PP7,,,1,1,-1,-1,2,-1,NSE,,,1456444800,,1456444800,0,0,0,0,0,80000.00-120000.00,0,0,1465664088,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,120000,0,0,999,
762347,BE,nse_cm,,RMC,RMC-BE,,RMC,INE655V01019,,,,RMC SWITCHGEARS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1459468800,,1459468800,0,0,0,0,0,274.30-303.10,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,345862.00,1,0,30310,27430,1,1,1,0,0,1,0,1.05768e+07,0,0,345862,"Stage I ESM Scrip,Gross settlement (Trade for Trade)"
762349,BL,nse_cm,,RMC,RMC-BL,,RMC-BL,INE655V01019,,,,RMC SWITCHGEARS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1459468800,,1459468800,0,0,0,0,0,280.05-297.35,0,0,1465675844,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,333329.00,1,0,29735,28005,1,1,1,0,0,1,0,1.05768e+07,0,0,333329,
762423,SG,nse_cm,,76KL33,76KL33-SG,,76KL33-SG,IN2020260013,,,,SDL KL 7.6% 2033,,,1,100,-1,-1,2,-1,NSE,,,1460851200,,1460851200,0,0,0,0,0,95.00-105.00,0,0,1465664088,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,4e+07,0,0,1000000,
762430,TB,nse_cm,,182D151026,182D151026-TB,,182D151026-TB,IN002026Y022,,,,GOI TBILL 182D-15/10/26,,,1,100,-1,-1,2,-1,NSE,,,1460851200,,1460851200,0,0,0,0,0,92.49-102.21,0,0,1465664088,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1027200.00,100,0,10221,9249,1,1,1,0,0,1,0,6e+08,0,0,1027200,
762435,BL,nse_cm,,OMPOWER,OMPOWER-BL,,OMPOWER-BL,INE25E901019,,,,OM POWER TRANSMISSION LTD,,,1,1,-1,-1,2,-1,NSE,,,1460851200,,1460851200,0,0,0,0,0,170.06-180.56,0,0,1465675839,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,571103.00,1,0,18056,17006,1,1,1,0,0,1,0,3.4245e+07,0,0,571103,
762535,BL,nse_cm,,ACSTECH,ACSTECH-BL,,ACSTECH-BL,INE366C01021,,,,A C S TECHNOLOGIES LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,38.61-40.99,0,0,1465675839,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,1984288.00,1,0,4099,3861,1,1,1,0,0,1,0,6.06816e+07,0,0,1984288,
762565,BL,nse_cm,,BAJAJST,BAJAJST-BL,,BAJAJST-BL,INE704G01024,,,,BAJAJ STEEL INDS. LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,350.15-371.75,0,0,1465675840,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,1,1,270379.00,1,0,37175,35015,1,1,1,0,0,1,0,2.08e+07,0,0,270379,
762578,EQ,nse_cm,,BENGALASM,BENGALASM-EQ,,BENGALASM,INE083K01017,,,,BENGAL & ASSAM CO. LTD.,,,50,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,5124.00-7685.00,0,0,1465682619,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,15611.00,1,0,768500,512400,1,1,1,0,0,1,0,1.14039e+07,0,0,15611,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762603,EQ,nse_cm,,BLIL,BLIL-EQ,,BLIL,INE525F01025,,,,BALMER LAWRIE INVSTS. L,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,56.12-84.16,0,0,1465682619,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,1425508.00,1,0,8416,5612,1,1,1,0,0,1,0,2.21973e+08,0,0,1425508,
762615,BL,nse_cm,,BNALTD,BNALTD-BL,,BNALTD-BL,INE489D01011,,,,B & A LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,329.80-350.20,0,0,1465675840,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,101369.00,1,0,35020,32980,1,1,1,0,0,1,0,3.1e+06,0,0,101369,
762653,EQ,nse_cm,,ELANTAS,ELANTAS-EQ,,ELANTAS,INE280B01018,,,,ELANTAS BECK INDIA LTD.,,,50,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,1462406400,7464.50-11196.50,0,0,1465682619,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,10710.00,1,0,1.11965e+06,746450,1,1,1,0,0,1,0,7.92768e+06,0,0,10710,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762668,BL,nse_cm,,ELPROINTL,ELPROINTL-BL,,ELPROINTL-BL,INE579B01039,,,,ELPRO INTERNATIONAL LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,161.65-171.55,0,0,1465675884,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,599617.00,1,0,17155,16165,1,1,1,0,0,1,0,1.69479e+08,0,0,599617,
762673,BE,nse_cm,,EMPOWER,EMPOWER-BE,,EMPOWER,INE507F01023,,,,EMPOWER INDIA LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,1.92-1.98,0,0,1465675961,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,38056212.00,1,0,198,192,1,1,1,0,0,1,0,1.1638e+09,0,0,38056212,"Stage II ESM Scrip,Gross settlement (Trade for Trade)"
762677,BL,nse_cm,,FEDDERSHOL,FEDDERSHOL-BL,,FEDDERSHOL-BL,INE417D01020,,,,FEDDERS HOLDING LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,33.06-35.10,0,0,1465675840,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,2886693.00,1,0,3510,3306,1,1,1,0,0,1,0,2.01416e+08,0,0,2886693,
762697,BL,nse_cm,,GRANDOAK,GRANDOAK-BL,,GRANDOAK-BL,INE926B01016,,,,GRAND OAK CANYONS DIST L,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,33.66-35.74,0,0,1465675840,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,2635928.00,1,0,3574,3366,1,1,1,0,0,1,0,5.18884e+08,0,0,2635928,
762700,EQ,nse_cm,,GRAVISSHO,GRAVISSHO-EQ,,GRAVISSHO,INE214F01026,,,,GRAVISS HOSPITALITY LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,22.66-33.98,0,0,1465682619,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,1,1,2305975.00,1,0,3398,2266,1,1,1,0,0,1,0,7.05191e+07,0,0,2305975,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762732,EQ,nse_cm,,KAMAHOLD,KAMAHOLD-EQ,,KAMAHOLD,INE411F01010,,,,KAMA HOLDINGS LTD.,,,10,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,2042.40-3063.60,0,0,1465682619,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,39150.00,1,0,306360,204240,1,1,1,0,0,1,0,3.20906e+07,0,0,39150,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762782,EQ,nse_cm,,MCCHRLS-B,MCCHRLS-B-EQ,,MCCHRLS-B,INE435D01014,,,,MAC CHARLES (INDIA) LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,558.40-837.50,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,143266.00,1,0,83750,55840,1,1,1,0,0,1,0,1.31005e+07,0,0,143266,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762792,EQ,nse_cm,,MERCANTILE,MERCANTILE-EQ,,MERCANTILE,INE689O01013,,,,MERCANTILE VENTURES LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,18.99-28.47,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,3659724.00,1,0,2847,1899,1,1,1,0,0,1,0,1.11918e+08,0,0,3659724,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
